Latitude,Longitude
48.6749,6.18014
48.6749,6.18014
48.6748,6.18036
48.6748,6.18036
48.6747,6.18064
48.6747,6.18064
48.6746,6.18097
48.6746,6.18097
48.6745,6.18131
48.6745,6.18131
48.6744,6.18157
48.6744,6.18157
48.6741,6.1819
48.6741,6.1819
48.6741,6.18215
48.6741,6.18215
48.6739,6.1824
48.6739,6.1824
48.6739,6.18269
48.6739,6.18269
48.6738,6.18293
48.6738,6.18293
48.6737,6.18315
48.6737,6.18315
48.6735,6.1834
48.6735,6.1834
48.6733,6.18366
48.6733,6.18366
48.6731,6.18392
48.6731,6.18392
48.6728,6.18419
48.6728,6.18419
48.6726,6.18447
48.6726,6.18447
48.6724,6.18477
48.6724,6.18477
48.6721,6.18509
48.6721,6.18509
48.6718,6.18541
48.6718,6.18541
48.6716,6.18574
48.6716,6.18574
48.6713,6.18607
48.6713,6.18607
48.6711,6.18641
48.6711,6.18641
48.6708,6.18674
48.6708,6.18674
48.6705,6.18707
48.6705,6.18707
48.6703,6.18739
48.6703,6.18739
48.67,6.18769
48.67,6.18769
48.6698,6.18797
48.6698,6.18797
48.6695,6.18824
48.6695,6.18824
48.6693,6.1885
48.6693,6.1885
48.669,6.18874
48.669,6.18874
48.6688,6.18895
48.6688,6.18895
48.6686,6.18916
48.6686,6.18916
48.6685,6.18932
48.6685,6.18932
48.6683,6.18946
48.6683,6.18946
48.6681,6.18967
48.6681,6.18967
48.668,6.18981
48.668,6.18981
48.6677,6.18999
48.6677,6.18999
48.6675,6.19012
48.6675,6.19012
48.6674,6.19026
48.6674,6.19026
48.6672,6.19039
48.6672,6.19039
48.667,6.19067
48.667,6.19067
48.6669,6.19103
48.6669,6.19103
48.6671,6.19138
48.6671,6.19138
48.6672,6.19164
48.6672,6.19164
48.6674,6.19185
48.6674,6.19185
48.6676,6.1919
48.6676,6.1919
48.6684,6.19187
48.6684,6.19187
48.6689,6.19223
48.6689,6.19223
48.6691,6.19229
48.6691,6.19229
48.6693,6.19236
48.6693,6.19236
48.6697,6.19239
48.6697,6.19239
48.6699,6.19243
48.6699,6.19243
48.6701,6.19252
48.6701,6.19252
48.6702,6.19263
48.6702,6.19263
48.6704,6.19271
48.6704,6.19271
48.6706,6.19281
48.6706,6.19281
48.6708,6.19291
48.6708,6.19291
48.6711,6.19309
48.6711,6.19309
48.6713,6.19318
48.6713,6.19318
48.6716,6.1933
48.6716,6.1933
